prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,gemini-2.0-flash,0.0,0.0,1.0,LOG-01,The model claims the idea is excellent without acknowledging that shared fulfillment networks already exist. The idea is a cosmetic rephrasing of existing 4PL solutions.
O02,LOG-02,Logistics,gemini-2.0-flash,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges the competitive landscape and existing players like DoorDash and Uber Eats, signaling non-novelty. However, the core idea of matching drivers with retail orders for same-day delivery is already well-established, representing no conceptual novelty."
O03,FIN-01,Fintech,gemini-2.0-flash,1.0,0.0,0.0,FIN-01,The model explicitly states that the idea is not new and names existing BNPL services. The suggestions for differentiation are parametric tweaks or recombinations of existing features.
O04,FIN-02,Fintech,gemini-2.0-flash,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges that the idea isn't completely groundbreaking, but still frames the execution as the innovative part. The core idea is a parametric tweak of existing neobanks, focusing on a specific demographic (Gen Z)."
O05,FIN-03,Fintech,gemini-2.0-flash,0.7,0.0,0.30000000000000004,FIN-03,"The model acknowledges the existence of similar apps like Mint and YNAB, but still frames the idea as potentially successful. The core concept is a finance aggregator, which already exists."
O06,HLT-01,Health,gemini-2.0-flash,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges the existence of telehealth but frames the idea as worth considering. The core concept is telemedicine, which already exists."
O07,HLT-03,Health,gemini-2.0-flash,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of competitors like Talkspace and BetterHelp, signaling non-novelty. The idea is a direct instance of a mental health marketplace, offering on-demand therapist matching, which is already covered in HLT-03."
O08,RE-01,Real Estate,gemini-2.0-flash,1.0,0.0,0.0,RE-01,The model explicitly mentions the iBuyer market and names Opendoor and Zillow Offers. The core idea is identical to existing iBuying services.
O09,RE-02,Real Estate,gemini-2.0-flash,0.7,0.0,0.30000000000000004,RE-02,"The model acknowledges the existence of competitors in the fractional real estate space, but still frames the idea as potentially viable. The core concept is already present in existing fractional ownership models."
O10,SAS-01,SaaS,gemini-2.0-flash,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the crowded CRM market, but still frames the AI-powered prediction as a differentiator. The idea is a parametric tweak of existing CRM solutions, adding AI prediction."
O11,SAS-03,SaaS,gemini-2.0-flash,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges the existence of many competitors like Google Workspace, Microsoft 365, Atlassian, Notion, Asana, Monday.com, Slack, Coda, ClickUp, Mem.ai, Taskade. The idea is a parametric tweak of existing collaboration tools by adding AI features."
O12,DEV-01,DevTools,gemini-2.0-flash,0.7,0.0,0.30000000000000004,DEV-01,"The model acknowledges the existence of similar tools like GitHub Copilot, but still frames the idea as highly promising. The core idea is verbatim prior art, so CNS is 0."
O13,DEV-02,DevTools,gemini-2.0-flash,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges the existence of monitoring tools and competition, but still frames the idea as potentially unique. The core concept is a parametric tweak (ML) on existing monitoring solutions."
O14,DEV-03,DevTools,gemini-2.0-flash,0.7,0.2,0.24000000000000005,DEV-03,"The model acknowledges the existence of IaC tools, but frames the natural language interface as a novel improvement. The core idea is a parametric tweak (natural language interface) on existing IaC tools."
O15,AI-01,AI-Tooling,gemini-2.0-flash,1.0,0.0,0.0,AI-01,"The model explicitly names existing vector databases like Pinecone and Weaviate, indicating awareness of the prior art. The idea itself is a verbatim match for existing vector databases, offering no conceptual novelty."
O16,AI-01,AI-Tooling,gemini-2.0-flash,1.0,0.0,0.0,AI-01,"The model explicitly names existing vector databases and LLM orchestration frameworks like Pinecone, Weaviate, Chroma, Langchain, and LlamaIndex. The idea is a verbatim instance of existing RAG platforms."
