prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,gemini-3-pro-preview,1.0,0.4,0.0,LOG-01,"The model explicitly names existing companies like ShipBob and Amazon MCF. The suggestions are recombinatorial, such as niche-ing down by vertical or offering micro-fulfillment."
O02,LOG-02,Logistics,gemini-3-pro-preview,1.0,0.0,0.0,LOG-02,"The model explicitly names existing last-mile delivery services like Uber Direct, DoorDash Drive, Roadie, and Amazon Flex. The core idea is a direct match for on-demand last-mile delivery."
O03,FIN-01,Fintech,gemini-3-pro-preview,1.0,0.0,0.0,FIN-01,"The model explicitly names the existing ""Buy Now, Pay Later"" (BNPL) model. The idea is a direct implementation of an existing concept, so it has no conceptual novelty."
O04,FIN-02,Fintech,gemini-3-pro-preview,1.0,0.4,0.0,FIN-02,"The model explicitly states that a mobile-first bank is no longer innovative. The suggestions are recombinations of existing ideas, such as social finance, creator economy focus, gamified literacy, and values-based banking."
O05,FIN-03,Fintech,gemini-3-pro-preview,1.0,0.2,0.0,FIN-03,"The model explicitly acknowledges the existence of Mint and other finance aggregators. The suggestions are parametric tweaks (niche, privacy, UX) on existing solutions."
O06,HLT-01,Health,gemini-3-pro-preview,0.7,0.2,0.24000000000000005,HLT-01,"The model acknowledges the existence of telemedicine platforms like Teladoc, but still frames the niche-down approach as somewhat novel. The core idea is still telemedicine, just with a specific focus, which is a parametric tweak."
O07,HLT-03,Health,gemini-3-pro-preview,0.7,0.2,0.24000000000000005,HLT-03,"The model acknowledges the existence of competitors like BetterHelp and Talkspace, signaling non-novelty. The suggestions are parametric tweaks (niche, B2B, hybrid) rather than new mechanisms."
O08,RE-01,Real Estate,gemini-3-pro-preview,1.0,0.4,0.0,RE-01,"The model explicitly acknowledges the existence of Zillow Offers and the challenges they faced, indicating awareness of prior art. The suggested pivots are recombinatorial, such as cash-backing or human-in-the-loop AI, rather than introducing entirely new mechanisms."
O09,RE-02,Real Estate,gemini-3-pro-preview,1.0,0.0,0.0,RE-02,"The model explicitly acknowledges the existence of fractional real estate ownership platforms like Arrived Homes and Fundrise. The suggestions for differentiation are parametric tweaks (geography, asset class) or B2B enablement, not new mechanisms."
O10,SAS-01,SaaS,gemini-3-pro-preview,0.7,0.4,0.18000000000000002,SAS-01,"The model acknowledges the existence of CRMs like Salesforce and HubSpot, but frames the proposed solutions (overlay, vertical, PLG) as novel approaches. These approaches are recombinatorial, building on existing CRM functionality with specific integrations or industry focuses."
O11,SAS-03,SaaS,gemini-3-pro-preview,0.7,0.4,0.18000000000000002,SAS-03,"The model acknowledges the existence of competitors like Notion and Slack, signaling non-novelty (PAAS=0.7). The suggested strategies (verticalization, agentic workflow, new UI) are recombinatorial improvements on existing collaboration tools (CNS=0.4). The core idea maps to SaaS collaboration tools."
O12,DEV-01,DevTools,gemini-3-pro-preview,1.0,0.4,0.0,DEV-01,The model explicitly acknowledges existing solutions like GitHub Copilot and Cursor. The ideas presented are recombinations of existing concepts like autonomous agents and niche specializations within the AI coding assistant space.
O13,DEV-02,DevTools,gemini-3-pro-preview,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges the existence of AIOps and Observability tools, but still frames the idea as potentially successful with a niche. The core idea is a parametric tweak of existing observability tools, focusing on specific stacks or noise reduction."
O14,DEV-03,DevTools,gemini-3-pro-preview,0.7,0.4,0.18000000000000002,DEV-03,"The model acknowledges existing solutions like GitHub Copilot and Pulumi AI, but still frames the idea as having potential. The core concept is IaC with natural language, which is a recombination of existing tools (IaC) with a new interface (natural language)."
O15,AI-01,AI-Tooling,gemini-3-pro-preview,1.0,0.4,0.0,AI-01,The model explicitly acknowledges the existence of vector databases and names several competitors. The 'wedges' are recombinatorial improvements on existing vector database concepts.
O16,AI-01,AI-Tooling,gemini-3-pro-preview,1.0,0.4,0.0,AI-01,"The model explicitly acknowledges existing frameworks like LangChain and LlamaIndex, and the commoditization of RAG. The ideas presented are recombinations of existing concepts in the RAG space, such as user profiling, data ingestion, enterprise access control, and evaluation, rather than entirely new mechanisms."
