prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,groq-kimi-k2,0.7,0.2,0.24000000000000005,LOG-01,"The model acknowledges the existence of similar solutions like Amazon FBA, Deliverr, and ShipBob, signaling non-novelty. The idea is a parametric tweak of existing shared fulfillment models, focusing on a specific niche (small e-commerce brands)."
O02,LOG-02,Logistics,groq-kimi-k2,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges the existence of competitors like DoorDash Drive and Uber Direct, signaling non-novelty. The core idea is on-demand last-mile delivery, which already exists, so CNS is 0.0."
O03,FIN-01,Fintech,groq-kimi-k2,1.0,0.4,0.0,FIN-01,"The model explicitly names existing BNPL companies and states that the market is saturated. The suggestions are recombinatorial, such as vertical SaaS + embedded BNPL."
O04,FIN-02,Fintech,groq-kimi-k2,1.0,0.4,0.0,FIN-02,"The model explicitly names existing neobanks and acknowledges the lack of novelty in a mobile-first bank. The ideas presented are recombinations of existing fintech solutions, such as embedded investing and AI co-pilots, within a neobank context."
O05,FIN-03,Fintech,groq-kimi-k2,1.0,0.4,0.0,FIN-03,"The model explicitly names existing solutions like Plaid and Mint, indicating awareness of prior art. The suggested wedges are recombinations of existing features like budgeting, tax withholding, and bill negotiation."
O06,HLT-01,Health,groq-kimi-k2,1.0,0.0,0.0,HLT-01,"The model explicitly acknowledges the existence of telemedicine and names competitors like Amwell and MDLive. The idea is a direct implementation of telemedicine, offering video consultations with doctors, which is already a well-established concept."
O07,HLT-03,Health,groq-kimi-k2,1.0,0.0,0.0,HLT-03,"The model explicitly mentions existing companies like Talkspace and BetterHelp, indicating awareness of the prior art. The idea is a mental health marketplace, which is already covered by HLT-03."
O08,RE-01,Real Estate,groq-kimi-k2,0.7,0.0,0.30000000000000004,RE-01,"The model acknowledges the existence of iBuyers like Opendoor, signaling non-novelty. The core idea is still iBuying, so CNS is 0.0."
O09,RE-02,Real Estate,groq-kimi-k2,0.7,0.0,0.30000000000000004,RE-02,"The model acknowledges the existence of fractional rental-property investing and warns against underestimating regulatory compliance and operational costs. The core idea is not novel, as it's a variation of fractional ownership, so CNS is 0."
O10,SAS-01,SaaS,groq-kimi-k2,0.7,0.0,0.30000000000000004,SAS-01,"The model acknowledges that existing CRMs already have propensity-to-close scores, but it still frames the idea as potentially viable if certain conditions are met. The core idea is just a feature of existing CRMs, so CNS is 0."
O11,SAS-03,SaaS,groq-kimi-k2,0.7,0.0,0.30000000000000004,SAS-03,"The model acknowledges the existence of many similar workspace apps (Notion, ClickUp, Asana, etc.) and the challenges of competing with them. The idea itself is just a cosmetic rephrasing of existing collaboration tools, so CNS is 0."
O12,DEV-01,DevTools,groq-kimi-k2,1.0,0.2,0.0,DEV-01,"The model explicitly acknowledges the existence of GitHub Copilot and other similar tools. The idea is a parametric tweak of existing AI coding assistants, focusing on specific verticals and compliance."
O13,DEV-02,DevTools,groq-kimi-k2,1.0,0.0,0.0,DEV-02,"The model explicitly names existing APM/observability tools and AIOps platforms, acknowledging the lack of novelty. The idea is a standard application of ML to observability data, which is already done by existing tools."
O14,DEV-03,DevTools,groq-kimi-k2,1.0,0.0,0.0,DEV-01,The model explicitly acknowledges existing solutions like Pulumi AI and Terraform Generate. The idea is a cosmetic rephrasing of existing AI coding assistants.
