prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,groq-qwen3-32b,0.7,0.2,0.24000000000000005,LOG-01,"The model acknowledges the existence of 3PLs and Amazon FBA, but still frames the idea as potentially novel. The idea is a parametric tweak of existing shared fulfillment solutions, focusing on small e-commerce brands."
O02,LOG-02,Logistics,groq-qwen3-32b,0.0,0.2,0.8,LOG-02,"The model does not acknowledge the existence of on-demand delivery services. The idea is a parametric tweak of existing last-mile delivery services, focusing on local drivers and retail orders."
O03,FIN-01,Fintech,groq-qwen3-32b,1.0,0.0,0.0,FIN-01,"The model explicitly acknowledges that the idea is a Buy Now, Pay Later (BNPL) service, which already exists. The core mechanism is identical to existing BNPL services, offering interest-free installments, so there is no conceptual novelty."
O04,FIN-02,Fintech,groq-qwen3-32b,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges the existence of mobile-first banks like Chime and Revolut, but still frames the idea as needing to be ""Gen Z-proofed"". The suggestions are mostly parametric tweaks to existing neobank models, such as gamification, social features, and sustainability initiatives."
O05,FIN-03,Fintech,groq-qwen3-32b,0.7,0.2,0.24000000000000005,FIN-03,"The model acknowledges existing apps like Mint and YNAB, but still frames the idea as potentially viable if a unique problem is solved. The core idea is a finance aggregator, which already exists, so the novelty is a parametric tweak."
O06,HLT-01,Health,groq-qwen3-32b,1.0,0.2,0.0,HLT-01,"The model explicitly acknowledges existing telemedicine platforms like Teladoc and Amwell. The idea is a parametric tweak of existing telemedicine services, focusing on niche markets or integrating AI for triage, which doesn't introduce a new conceptual primitive."
O07,HLT-03,Health,groq-qwen3-32b,0.7,0.2,0.24000000000000005,HLT-03,"The model acknowledges existing teletherapy platforms like BetterHelp and Talkspace, but still frames the idea as potentially novel by focusing on 'real-time, on-demand therapy'. The core concept is a parametric tweak (speed/availability) on existing mental health marketplaces."
O08,RE-01,Real Estate,groq-qwen3-32b,0.7,0.2,0.24000000000000005,RE-01,"The model acknowledges the existence of similar platforms like Offerpad and Zillow Offers, signaling non-novelty. The core mechanism is iBuying, with the parametric tweak of speed (24-hour offers)."
O09,RE-02,Real Estate,groq-qwen3-32b,0.7,0.2,0.24000000000000005,RE-02,"The model acknowledges the existence of similar platforms like Fundrise and RealtyMogul, signaling non-novelty. The core idea is a parametric tweak of fractional ownership, focusing on individual rental properties rather than REITs or diversified funds."
O10,SAS-01,SaaS,groq-qwen3-32b,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges existing CRMs like Salesforce and HubSpot, but still frames the idea as potentially novel. The core idea is a parametric tweak (AI) to existing CRM functionality, not a new mechanism."
