prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-claude-opus-4.5,1.0,0.0,0.0,LOG-01,The model explicitly names existing companies like ShipBob and Deliverr that already offer this service. The idea is a direct match for shared fulfillment.
O02,LOG-02,Logistics,openrouter-claude-opus-4.5,1.0,0.0,0.0,LOG-02,The model explicitly acknowledges the existence of similar services like Instacart and DoorDash. The idea is a direct instance of on-demand last-mile delivery.
O03,FIN-01,Fintech,openrouter-claude-opus-4.5,1.0,0.0,0.0,FIN-01,The model explicitly states that the idea already exists at scale and names existing companies in the space. The idea is a verbatim match for BNPL.
O04,FIN-02,Fintech,openrouter-claude-opus-4.5,1.0,0.0,0.0,FIN-02,The model explicitly states that the idea is not innovative and names existing neobanks. The core concept is already present in the RPAC.
O05,FIN-03,Fintech,openrouter-claude-opus-4.5,1.0,0.0,0.0,FIN-03,"The model explicitly names existing finance aggregators like Mint and YNAB, indicating awareness of prior art. The idea itself is a direct instance of a finance aggregator, offering no new conceptual primitives."
O06,HLT-01,Health,openrouter-claude-opus-4.5,1.0,0.0,0.0,HLT-01,"The model explicitly acknowledges the existence of telemedicine platforms like Teladoc and Amwell, indicating awareness of prior art. The idea itself is a direct implementation of telemedicine, offering no new conceptual primitives."
O07,HLT-03,Health,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of competitors like BetterHelp and Talkspace, signaling non-novelty. However, the core idea of matching users with therapists on-demand is already well-established, indicating no conceptual novelty."
O08,RE-01,Real Estate,openrouter-claude-opus-4.5,1.0,0.0,0.0,RE-01,"The model explicitly acknowledges the existence of iBuyers like Opendoor and Zillow. The core idea is not novel, as it's a direct implementation of the iBuyer model, which the model acknowledges."
O09,RE-02,Real Estate,openrouter-claude-opus-4.5,1.0,0.0,0.0,RE-02,The model explicitly states that the idea already exists and names several companies that have tried it. The idea is a direct match to fractional ownership of real estate.
O10,SAS-01,SaaS,openrouter-claude-opus-4.5,1.0,0.0,0.0,SAS-01,"The model explicitly acknowledges the existence of AI-powered CRMs and deal prediction tools like Salesforce Einstein and HubSpot. The idea is a commodity feature, not a novel product."
O11,SAS-03,SaaS,openrouter-claude-opus-4.5,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges the existence of similar tools like Notion, Slack, and Asana, indicating some awareness of prior art. The idea itself is a recombination of existing features (docs, chat, tasks) with a parametric tweak (AI), but doesn't introduce a fundamentally new mechanism."
O12,DEV-01,DevTools,openrouter-claude-opus-4.5,1.0,0.0,0.0,DEV-01,"The model explicitly acknowledges the existence of GitHub Copilot, Cursor, and other AI coding tools, thus PAAS is 1.0. The model does not introduce any new conceptual primitives, as it suggests focusing on vertical-specific tools or legacy code modernization, which are just specific applications of existing AI coding tools. Thus, CNS is 0.0."
O13,DEV-02,DevTools,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,DEV-02,"The model acknowledges the existence of similar tools like Datadog and New Relic, but still frames the idea as potentially viable with the right execution. The core concept of predicting outages using ML is already present in existing observability/APM tools."
O14,DEV-03,DevTools,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,DEV-03,"The model acknowledges existing solutions like Pulumi AI and Terraform's AI features, signaling non-novelty. The core idea of using natural language to generate IaC is already present in existing tools, making it a cosmetic rephrasing of existing solutions."
O15,AI-01,AI-Tooling,openrouter-claude-opus-4.5,1.0,0.0,0.0,AI-01,The model explicitly names existing vector databases and acknowledges the crowded market. The idea is a 'vector database but better' which is a cosmetic rephrasing.
O16,AI-01,AI-Tooling,openrouter-claude-opus-4.5,1.0,0.0,0.0,AI-01,"The model explicitly acknowledges the existence of LangChain, LlamaIndex, and vector DBs like Pinecone and Weaviate, which directly address the prompt's request. The idea does not introduce any new conceptual primitives, as it's essentially a rehash of existing RAG frameworks."
O17,AI-02,AI-Tooling,openrouter-claude-opus-4.5,1.0,0.0,0.0,AI-02,"The model explicitly names existing players in the LLM hosting space, indicating awareness of prior art. The idea itself is a verbatim instance of existing model serving platforms."
O18,NOCODE-01,No-Code,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,NOCODE-01,"The model acknowledges the existence of many competitors in the website builder space, but still frames the idea as potentially viable with a niche or differentiator. The core concept is a drag-and-drop website builder, which is already well-established."
O19,NOCODE-02,No-Code,openrouter-claude-opus-4.5,1.0,0.0,0.0,NOCODE-02,"The model explicitly names existing solutions like Zapier and Make, indicating awareness of prior art. The core idea of connecting apps without code is already addressed by these platforms, so there is no conceptual novelty."
O20,SEC-01,Security,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,SEC-01,"The model acknowledges the crowded market and incumbents, but still frames the idea as potentially viable with a specific edge. The core idea is endpoint protection, which is already covered by existing solutions."
O21,SEC-02,Security,openrouter-claude-opus-4.5,0.7,0.0,0.30000000000000004,SEC-02,"The model acknowledges the existence of established players and standards in the passwordless authentication space, signaling non-novelty. However, it still frames the idea as potentially viable without introducing any new conceptual primitives, effectively making it a cosmetic rephrasing of existing solutions."
O22,DATA-01,Data,openrouter-claude-opus-4.5,1.0,0.0,0.0,DATA-01,"The model explicitly names existing cloud data warehouses like Snowflake and Databricks, acknowledging the lack of novelty. The idea itself is a verbatim instance of existing solutions, thus CNS is 0."
