prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,LOG-01,"The model explicitly acknowledges that the idea is 3PL as a service, which is a crowded space. The idea does not introduce any new conceptual primitives."
O02,LOG-02,Logistics,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,LOG-02,"The model explicitly acknowledges the existence of competitors like DoorDash and Uber, indicating awareness of prior art. The idea itself is a direct implementation of on-demand last-mile delivery, offering no conceptual novelty."
O03,FIN-01,Fintech,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,FIN-01,"The model explicitly identifies the idea as Buy Now, Pay Later (BNPL) and names existing players. The core mechanism is identical to existing BNPL services, so CNS is 0."
O04,FIN-02,Fintech,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,FIN-02,"The model explicitly states that the idea is not innovative and provides examples of existing neobanks. The core concept is already well-established, making the conceptual novelty score 0."
O05,FIN-03,Fintech,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,FIN-03,"The model explicitly names existing solutions like Mint and YNAB, indicating awareness of prior art. The idea itself is a finance aggregator, which is already well-established."
O06,HLT-01,Health,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges the existence of telemedicine platforms like Teladoc and Amwell, signaling non-novelty. However, it still frames the idea as potentially viable with niche applications, but the core concept remains a cosmetic rephrasing of existing telemedicine services."
O07,HLT-03,Health,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the crowded market and existing solutions like BetterHelp and Talkspace, signaling non-novelty. However, it still frames the idea as potentially viable with specific niches or novel approaches, but these are just parametric tweaks. The idea is essentially a mental health marketplace."
O08,RE-01,Real Estate,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,RE-01,The model explicitly states that the idea already exists and names competitors like Opendoor. The idea is a direct match to the iBuying archetype.
O09,RE-02,Real Estate,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,RE-02,The model explicitly states that the idea already exists and names multiple existing players. The idea is a direct match to fractional ownership of real estate.
O10,SAS-01,SaaS,openrouter-claude-sonnet-4.5,1.0,0.2,0.0,SAS-01,The model explicitly acknowledges the crowded CRM space and the existence of predictive features in existing CRMs. The suggestions are parametric tweaks like vertical focus or underserved segments.
O11,SAS-03,SaaS,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,SAS-03,"The model explicitly acknowledges the crowded space and names existing competitors like Notion, Slack, Asana. The idea is a combination of existing tools, so it doesn't introduce a new conceptual primitive."
O12,DEV-01,DevTools,openrouter-claude-sonnet-4.5,1.0,0.2,0.0,DEV-01,"The model explicitly acknowledges the existence of GitHub Copilot, Cursor, and other AI coding assistants. The suggestions are parametric tweaks (niche down by language, workflow, industry)."
O13,DEV-02,DevTools,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,DEV-02,"The model acknowledges that predictive monitoring exists, but still frames the idea as a potential startup opportunity. The idea is a cosmetic rephrasing of existing APM solutions."
O14,DEV-03,DevTools,openrouter-claude-sonnet-4.5,0.7,0.2,0.24000000000000005,DEV-03,"The model acknowledges existing players like Pulumi AI and AWS Application Composer, signaling non-novelty. The core idea is a parametric tweak (natural language interface) on existing IaC tools."
O15,AI-01,AI-Tooling,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,AI-01,"The model explicitly names existing vector databases and acknowledges the crowded market. The suggestions are all about finding a niche or building on top of existing solutions, not introducing a new database concept."
O16,AI-01,AI-Tooling,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,AI-01,"The model explicitly acknowledges the existence of vector databases and retrieval frameworks like LangChain and LlamaIndex, indicating awareness of prior art. The suggestions for making it work are all parametric tweaks or recombinations of existing ideas."
O17,AI-02,AI-Tooling,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,AI-02,"The model explicitly acknowledges the existence of platforms like Hugging Face, Together AI, and Replicate, which offer API hosting for open-source LLMs. The suggestions for differentiation are all parametric tweaks or recombinations of existing services."
O18,NOCODE-01,No-Code,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,NOCODE-01,"The model acknowledges the existence of established players in the drag-and-drop website builder market, signaling non-novelty. The core idea is a cosmetic rephrasing of existing no-code app builders."
O19,NOCODE-02,No-Code,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,NOCODE-02,"The model explicitly names existing solutions like Zapier and Make, indicating awareness of prior art. The idea itself is a verbatim match for existing no-code automation platforms, offering no conceptual novelty."
O20,SEC-01,Security,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,SEC-01,"The model acknowledges the existence of established players like CrowdStrike and SentinelOne, signaling non-novelty. However, the core idea of an AI-powered endpoint protection platform is already well-established, representing no conceptual novelty."
O21,SEC-02,Security,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,SEC-02,"The model explicitly acknowledges the existence of passwordless authentication solutions from Microsoft, Okta, Auth0, passkeys, magic links, and biometrics. The model does not introduce any new conceptual primitives, and the idea falls squarely within the existing category of IAM/Identity solutions."
O22,DATA-01,Data,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,DATA-01,"The model explicitly states that the idea is not novel and that Snowflake pioneered the architecture. The model suggests some tweaks, but these are all cosmetic rephrasings of existing ideas."
O23,CONTROL,Control,openrouter-claude-sonnet-4.5,0.7,0.2,0.24000000000000005,,"The model acknowledges the difficulty of creating something truly new and provides examples of existing platforms that have found success by shifting the format, serving the underserved, or capitalizing on cultural shifts. The suggestions for what might work are mostly parametric tweaks or recombinations of existing concepts."
O24,CONTROL,Control,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,,"The model explicitly states that beating Google is ""extremely unlikely"" and suggests niche or alternative approaches, acknowledging existing solutions like DuckDuckGo and Perplexity. The suggestions are all existing approaches."
O25,CONTROL,Control,openrouter-claude-sonnet-4.5,0.7,0.0,0.30000000000000004,,"The model acknowledges the difficulty of competing with Amazon and suggests focusing on niche markets, curation, and seller relationships. However, these are all known strategies, so CNS is 0. The model signals non-novelty, so PAAS is 0.7."
O26,STRESS,Stress-Test,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,FIN-01,The model explicitly states that BNPL is a crowded market and names existing players. The idea is not novel and is already well-established.
O27,STRESS,Stress-Test,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,FIN-02,The model explicitly states that mobile-only banks already exist and names several examples. The idea is not novel and matches the Neobank archetype.
O28,STRESS,Stress-Test,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,HLT-01,"The model explicitly states that telemedicine and video consultations with doctors have existed for decades, acknowledging prior art. The idea is a direct match to telemedicine, so there is no conceptual novelty."
O29,STRESS,Stress-Test,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,DEV-01,The model explicitly states that the idea already exists and names several existing solutions. The core idea is already present in existing AI coding assistants.
O30,STRESS,Stress-Test,openrouter-claude-sonnet-4.5,1.0,0.0,0.0,AI-01,"The model explicitly states that vector databases are already a well-established market and names several existing players. The idea does not introduce any new conceptual primitives, as it is a direct instance of existing vector database solutions."
