prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-deepseek-v3.2,1.0,0.0,0.0,LOG-01,"The model explicitly names existing companies like ShipBob and Deliverr, indicating awareness of prior art. The idea is a shared fulfillment network, which is already present in the RPAC."
O02,LOG-02,Logistics,openrouter-deepseek-v3.2,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges the competitive landscape and the existence of similar services. The core idea is on-demand last-mile delivery, which is already well-established."
O03,FIN-01,Fintech,openrouter-deepseek-v3.2,1.0,0.0,0.0,FIN-01,"The model explicitly names existing BNPL companies like Affirm, Klarna, and Afterpay, indicating awareness of prior art. The idea is a direct implementation of BNPL, offering no conceptual novelty."
O04,FIN-02,Fintech,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges that the core idea is not novel (PAAS=0.7). The suggestions are mostly parametric tweaks (CNS=0.2) on existing neobank features, such as gamification, social finance, and AI coaching."
O05,FIN-03,Fintech,openrouter-deepseek-v3.2,1.0,0.0,0.0,FIN-03,"The model explicitly names existing financial aggregation apps like Mint and Personal Capital. The idea is a direct instance of a finance aggregator, offering no conceptual novelty."
O06,HLT-01,Health,openrouter-deepseek-v3.2,1.0,0.0,0.0,HLT-01,"The model explicitly names existing companies like Teladoc and Amwell, indicating awareness of prior art. The idea is a direct implementation of telemedicine, offering video calls with doctors, which is already a well-established concept."
O07,HLT-03,Health,openrouter-deepseek-v3.2,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of competitors like BetterHelp and Talkspace, signaling non-novelty. However, the core idea is a direct implementation of an existing mental health marketplace, offering no new conceptual primitives."
O08,RE-01,Real Estate,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,RE-01,"The model acknowledges the existence of iBuying, but frames the idea as novel due to the speed and AI component. The core mechanism is still iBuying, with parametric tweaks to speed and pricing."
O09,RE-02,Real Estate,openrouter-deepseek-v3.2,1.0,0.0,0.0,RE-02,"The model explicitly acknowledges the existence of real estate crowdfunding and fractional real estate investment, thus PAAS is 1.0. The idea itself is a direct implementation of fractional ownership, so CNS is 0.0. The best RPAC match is RE-02."
O10,SAS-01,SaaS,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the existence of AI-powered CRMs from Salesforce, HubSpot, and Microsoft, signaling non-novelty. The idea is a parametric tweak of existing CRM systems, focusing on a niche market, which is not a new conceptual primitive."
O11,SAS-03,SaaS,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges the existence of competitors like Notion and Slack, signaling non-novelty (PAAS=0.7). The idea is a parametric tweak of existing collaboration tools by adding AI (CNS=0.2). The closest RPAC match is SAS-03 (Collaboration Tools)."
O12,DEV-01,DevTools,openrouter-deepseek-v3.2,0.7,0.0,0.30000000000000004,DEV-01,"The model acknowledges existing solutions like GitHub Copilot, but still frames the idea as a potential startup opportunity. The idea is a cosmetic rephrasing of existing AI coding assistants."
O13,DEV-02,DevTools,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges the existence of competitors like Datadog and New Relic, but still frames the idea as potentially viable with the right approach. The core idea of using ML to predict server outages is a parametric tweak on existing observability/APM solutions, focusing on prediction rather than just alerting."
O14,DEV-03,DevTools,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,DEV-01,"The model acknowledges existing competition and alternatives, including Pulumi's AI-assisted mode and GitHub Copilot, indicating awareness of prior art. The core idea is a parametric tweak of existing AI coding assistants (like GitHub Copilot) applied to IaC, thus not conceptually novel."
O15,AI-01,AI-Tooling,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges the existence of vector databases like Pinecone and Weaviate, but still frames the idea as potentially viable with a unique insight. The idea is essentially a parametric tweak on existing vector databases, focusing on scale, performance, or specialization."
O16,AI-01,AI-Tooling,openrouter-deepseek-v3.2,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges existing competition, including vector DBs and memory-specific solutions, but still frames the idea as a potential startup opportunity. The core idea of adding memory and retrieval to LLM applications is already present in existing vector DBs and RAG platforms, so the conceptual novelty is low."
O17,AI-02,AI-Tooling,openrouter-deepseek-v3.2,1.0,0.0,0.0,AI-02,"The model explicitly names existing players like Hugging Face Inference Endpoints, Replicate, and Together.ai. The idea is a verbatim instance of Model Serving."
