prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,LOG-01,"The model acknowledges the existence of logistics providers and fulfillment centers, but still frames the idea as having ""significant potential"". The idea is a shared fulfillment network, which is already present in the RPAC."
O02,LOG-02,Logistics,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges existing solutions like DoorDash and Postmates, signaling non-novelty. The core idea is on-demand last-mile delivery, which is already present in the RPAC. The idea can be reduced to ""DoorDash but for retail orders."""
O03,FIN-01,Fintech,openrouter-gpt-4o-mini,1.0,0.0,0.0,FIN-01,"The model explicitly names the existing ""buy now, pay later"" (BNPL) industry. The idea is a verbatim match for BNPL."
O04,FIN-02,Fintech,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges that the idea is not entirely novel, but still frames it as something that can be made more innovative. The suggestions are mostly parametric tweaks to existing neobank models."
O05,FIN-03,Fintech,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,FIN-03,"The model acknowledges existing solutions like Mint and YNAB, signaling non-novelty. The idea itself is a finance aggregator, which is already covered in the RPAC."
O06,HLT-01,Health,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges the existence of telemedicine but frames the idea as promising. The idea is a direct instance of telemedicine, so it has no conceptual novelty."
O07,HLT-03,Health,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of competitors like BetterHelp and Talkspace, but still frames the idea as potentially worthwhile if a unique niche can be found. The core concept is a mental health marketplace, which already exists."
O08,RE-01,Real Estate,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,RE-01,"The model acknowledges the existence of iBuyers, but still frames the idea as potentially worthwhile if differentiated. The core idea is identical to iBuying."
O09,RE-02,Real Estate,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,RE-02,"The model acknowledges the existence of real estate crowdfunding and fractional ownership platforms, but does not explicitly name any. The idea is a direct implementation of fractional ownership, so it is not conceptually novel."
O10,SAS-01,SaaS,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges existing CRM solutions like Salesforce and HubSpot, signaling non-novelty. The core idea is a parametric tweak (AI) to an existing CRM, thus CNS is low."
O11,SAS-03,SaaS,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges existing solutions like Slack, Microsoft Teams, Notion, and Asana, signaling non-novelty. The core idea is a recombination of existing tools with AI, a parametric tweak."
O12,DEV-01,DevTools,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,DEV-01,"The model acknowledges existing solutions like GitHub Copilot and TabNine, but still frames the idea as potentially worthwhile if a ""unique angle"" can be found. The core idea is already present in existing AI coding assistants."
O13,DEV-02,DevTools,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges the existence of monitoring tools and predictive maintenance solutions, but still frames the idea as potentially unique. The core idea is a parametric tweak of existing observability tools, using ML for prediction."
O14,DEV-03,DevTools,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,DEV-03,"The model acknowledges the existence of IaC tools like Terraform and CloudFormation, but still frames the natural language interface as a unique value proposition. The idea is a parametric tweak (natural language) on existing IaC tools."
O15,AI-01,AI-Tooling,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,AI-01,"The model acknowledges existing solutions like Elasticsearch, Pinecone, and Faiss, but still frames the idea as a potentially promising venture. The idea is a verbatim match for vector databases, which are already a well-established category."
O16,AI-01,AI-Tooling,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,AI-01,The response acknowledges existing solutions but still frames the idea as potentially novel. The idea is a cosmetic rephrasing of existing LLM infrastructure.
O17,AI-02,AI-Tooling,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,AI-02,"The model acknowledges existing solutions like Hugging Face and OpenAI, but still frames the idea as potentially viable if there's a ""unique angle"". The core concept is simply hosting LLMs via API, which is already done by Replicate, Modal, and Together AI."
O18,NOCODE-01,No-Code,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,NOCODE-01,"The model acknowledges the existence of competitors like Wix and Squarespace, signaling non-novelty. The idea itself is a cosmetic rephrasing of existing no-code app builders."
O19,NOCODE-02,No-Code,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,NOCODE-02,"The model acknowledges existing solutions like Zapier and Integromat, signaling non-novelty. The idea itself is a verbatim instance of existing no-code automation platforms, offering no new conceptual primitive."
O20,SEC-01,Security,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,SEC-01,"The model acknowledges existing solutions like CrowdStrike and SentinelOne, but still frames the idea as potentially worthwhile if differentiated. The core idea is endpoint protection, which already exists, so the novelty is a parametric tweak (AI)."
O21,SEC-02,Security,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,SEC-02,The model acknowledges the existence of passwordless solutions but does not name any specific companies or standards. The idea itself is a cosmetic rephrasing of existing IAM solutions.
O22,DATA-01,Data,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,DATA-01,"The model acknowledges existing solutions like Snowflake and BigQuery, but still frames the idea as potentially viable. The core concept is already implemented by existing data warehouses, so there is no conceptual novelty."
O23,CONTROL,Control,openrouter-gpt-4o-mini,0.7,0.2,0.24000000000000005,,"The model acknowledges the saturation of the social media market, but still frames the ideas as potential innovations. The ideas are mostly parametric tweaks or recombinations of existing features."
O24,CONTROL,Control,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,,"The model acknowledges the existence of Google and other search engines like DuckDuckGo, signaling non-novelty. However, it doesn't introduce any new conceptual primitives, and the idea is essentially a cosmetic rephrasing of existing search engine concepts."
O25,CONTROL,Control,openrouter-gpt-4o-mini,0.0,0.2,0.8,null,The model claims originality and does not acknowledge existing solutions. The ideas are parametric tweaks to existing e-commerce marketplaces.
O26,STRESS,Stress-Test,openrouter-gpt-4o-mini,0.7,0.0,0.30000000000000004,FIN-01,"The model acknowledges the existence of BNPL services like Afterpay and Klarna, but still frames the idea as potentially viable if the user can bring something 'new' to the market. The core concept is already well-established, so CNS is 0."
O27,STRESS,Stress-Test,openrouter-gpt-4o-mini,0.3,0.0,0.7,FIN-02,"The model acknowledges competition in the mobile banking space, but still frames the idea as potentially innovative. The core concept is already present in neobanks like Chime or Revolut."
O28,STRESS,Stress-Test,openrouter-gpt-4o-mini,1.0,0.0,0.0,HLT-01,The model explicitly states that telemedicine already exists. The idea is a verbatim match for telemedicine.
O29,STRESS,Stress-Test,openrouter-gpt-4o-mini,1.0,0.0,0.0,DEV-01,"The model explicitly acknowledges the existence of tools like GitHub Copilot and OpenAI's Codex, indicating awareness of prior art. The core idea of AI-assisted coding is already present in existing solutions, so there is no conceptual novelty."
O30,STRESS,Stress-Test,openrouter-gpt-4o-mini,1.0,0.0,0.0,AI-01,"The model explicitly acknowledges the existence of vector databases and names specific companies in the space. The idea itself is not novel, as it's a direct instance of existing vector database solutions."
