prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-gpt-5.2,0.7,0.2,0.24000000000000005,LOG-01,"The model acknowledges existing solutions like ShipBob and Flexport, signaling non-novelty. The idea is a parametric tweak of existing shared fulfillment networks, focusing on SMB e-commerce brands."
O02,LOG-02,Logistics,openrouter-gpt-5.2,0.7,0.2,0.24000000000000005,LOG-02,"The model acknowledges the existence of similar services like DoorDash and Uber Eats, indicating some awareness of prior art. The idea is a parametric tweak of existing on-demand delivery services, focusing on specific niches or service levels."
O03,FIN-01,Fintech,openrouter-gpt-5.2,0.7,0.2,0.24000000000000005,FIN-01,"The model acknowledges the existence of BNPL solutions but still frames the idea as potentially viable with specific wedges. The core concept is a parametric tweak of existing BNPL models, focusing on niche markets or alternative business models."
O04,FIN-02,Fintech,openrouter-gpt-5.2,1.0,0.4,0.0,FIN-02,"The model explicitly states that a mobile-first bank for Gen Z is not innovative anymore. The suggestions for innovation are recombinatorial, such as focusing on specific problems like irregular income or credit building, which are parametric tweaks to the neobank model."
O05,FIN-03,Fintech,openrouter-gpt-5.2,0.7,0.0,0.30000000000000004,FIN-03,"The model acknowledges the existence of similar apps and the challenges of entering the market, but it still frames the idea as potentially viable with differentiation. The core concept is a finance aggregator, which already exists."
O06,HLT-01,Health,openrouter-gpt-5.2,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges that telemedicine is not a novel idea. However, it still frames the idea as potentially viable with specific niches, which is just a parametric tweak of an existing concept."
O07,HLT-03,Health,openrouter-gpt-5.2,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of incumbents like BetterHelp/Talkspace, signaling non-novelty. The core idea is a mental health marketplace, which already exists, so CNS is 0. The best match is HLT-03."
O08,RE-01,Real Estate,openrouter-gpt-5.2,0.7,0.2,0.24000000000000005,RE-01,"The model acknowledges the existence of iBuyers and the challenges in the space, but still frames the idea as potentially viable with specific advantages. The core concept is still iBuying, with parametric tweaks like focusing on specific niches or using different models to reduce inventory risk."
O09,RE-02,Real Estate,openrouter-gpt-5.2,1.0,0.0,0.0,RE-02,"The model explicitly acknowledges the existence of fractional real estate platforms like Fundrise and RealtyMogul. The idea does not introduce any new conceptual primitives, as it's a direct implementation of fractional ownership, so CNS is 0."
O10,SAS-01,SaaS,openrouter-gpt-5.2,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the existence of similar solutions in the market, but still frames the idea as potentially viable with certain differentiations. The core idea is a parametric tweak of existing CRM systems, focusing on specific verticals or data sources."
