prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,LOG-01,"The model acknowledges the existence of similar solutions like ShipBob and Deliverr, but frames the idea as a niche play. The core concept is a parametric tweak of existing shared fulfillment models, focusing on smaller brands and lower volume thresholds."
O02,LOG-02,Logistics,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,LOG-02,"The model acknowledges the existence of competitors like Uber Direct and DoorDash Drive, signaling non-novelty. The core idea is a parametric tweak of existing on-demand delivery services, focusing on a specific niche (local retailers) and potentially offering different pricing or integration options."
O03,FIN-01,Fintech,openrouter-gpt-oss-120b,1.0,0.0,0.0,FIN-01,"The model explicitly acknowledges the existence of BNPL solutions like Klarna and Afterpay. The idea is a direct implementation of BNPL, offering no new conceptual primitives."
O04,FIN-02,Fintech,openrouter-gpt-oss-120b,1.0,0.0,0.0,FIN-02,"The model explicitly states that the idea is not novel and names existing players like Revolut and Chime. The core concept is a neobank, which already exists."
O05,FIN-03,Fintech,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,FIN-03,"The model acknowledges existing solutions like Mint and Revolut's Insights, signaling non-novelty. The core idea is a parametric tweak of existing finance aggregators, focusing on multi-bank aggregation and AI-driven insights."
O06,HLT-01,Health,openrouter-gpt-oss-120b,1.0,0.0,0.0,HLT-01,"The model explicitly names existing telehealth platforms like Teladoc and Amwell, indicating awareness of prior art. The core idea is a direct instance of telemedicine, offering video consultations with doctors, which is already well-established."
O07,HLT-03,Health,openrouter-gpt-oss-120b,1.0,0.0,0.0,HLT-03,"The model explicitly names BetterHelp and Talkspace as competitors, indicating awareness of existing solutions. The core idea of matching users with therapists on-demand is already present in existing mental health marketplaces."
O08,RE-01,Real Estate,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,RE-01,"The model acknowledges existing iBuyers like Opendoor, but frames the 24-hour closing as a differentiator. The core mechanism of AI-driven instant offers is already present in the RPAC, so the novelty is a parametric tweak (speed)."
O09,RE-02,Real Estate,openrouter-gpt-oss-120b,1.0,0.0,0.0,RE-02,The model explicitly names existing fractional ownership platforms like Fundrise and Roofstock One. The idea is a direct match for the RPAC archetype RE-02.
O10,SAS-01,SaaS,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the existence of CRMs and sales analytics tools, but frames the combination of features as a differentiator. The core idea is a parametric tweak on existing CRM systems, focusing on a specific prediction task."
O11,SAS-03,SaaS,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges existing tools like Notion, ClickUp, and Coda, signaling non-novelty. The core idea of combining docs, chat, and tasks is a parametric tweak of existing collaboration tools, with the addition of AI."
O12,DEV-01,DevTools,openrouter-gpt-oss-120b,1.0,0.2,0.0,DEV-01,"The model explicitly names existing code generation tools like Github Copilot and OpenAI Codex. The ideas presented are parametric tweaks (on-prem, domain-specific) of existing AI coding assistants."
O13,DEV-02,DevTools,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,DEV-02,"The model acknowledges existing monitoring tools and AIOps solutions, but frames its predictive capability as a differentiator. The core idea is a parametric tweak (better prediction) on existing observability platforms."
O14,DEV-03,DevTools,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,DEV-01,"The model acknowledges the existence of AI-developer assistants and AI-for-DevOps startups, signaling non-novelty. The core idea is a parametric tweak of existing AI coding assistants, focusing on IaC and natural language, which is not a new conceptual primitive."
O15,AI-01,AI-Tooling,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges the existence of vector databases and embedding-first platforms, but still frames the idea as potentially viable if a specific gap can be proven. The technical moats are parametric tweaks to existing solutions."
O16,AI-01,AI-Tooling,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,AI-01,"The model acknowledges the existence of LangChain, LlamaIndex, Pinecone, and Weaviate, signaling non-novelty. The idea is a parametric tweak on existing LLM infrastructure, focusing on specific features like privacy and multi-modality."
O17,AI-02,AI-Tooling,openrouter-gpt-oss-120b,1.0,0.2,0.0,AI-02,"The model explicitly names existing services like Hugging Face Inference API, Replicate, and Together.ai. The core idea is a parametric tweak (more models, different pricing) on existing model serving platforms."
O18,NOCODE-01,No-Code,openrouter-gpt-oss-120b,0.7,0.4,0.18000000000000002,NOCODE-01,"The model acknowledges the competitive landscape and saturation of the drag-and-drop website builder market, signaling non-novelty. The idea is recombinatorial, combining existing website builders with AI enhancements and niche focus."
O19,NOCODE-02,No-Code,openrouter-gpt-oss-120b,1.0,0.2,0.0,NOCODE-02,"The model explicitly acknowledges existing no-code app connectors like Zapier and Make. The idea is a parametric tweak on existing solutions, focusing on specific niches or features."
O20,SEC-01,Security,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,SEC-01,"The response acknowledges the existence of AI-powered endpoint protection platforms, but frames the idea as potentially viable if a specific niche is targeted. The core idea is a parametric tweak of existing solutions, focusing on specific use-cases or data moats."
O21,SEC-02,Security,openrouter-gpt-oss-120b,1.0,0.2,0.0,SEC-02,"The model explicitly names existing players in the passwordless authentication space, indicating awareness of prior art. The idea is essentially a parametric tweak of existing IAM/Identity solutions, focusing on enterprise applications."
O22,DATA-01,Data,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,DATA-01,"The model acknowledges the existence of storage-compute separation in existing data warehouses like Snowflake and BigQuery (PAAS=0.7). The idea primarily involves parametric tweaks to existing architectures, such as fine-grained autoscaling and hybrid-cloud query federation, rather than introducing a fundamentally new mechanism (CNS=0.2)."
O23,CONTROL,Control,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,,"The model acknowledges that creating something ""truly new"" is rare and usually involves combining existing elements. However, it still frames the approach as potentially novel, and the ideas presented are parametric tweaks of existing social media platforms."
O24,CONTROL,Control,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,,The model acknowledges the difficulty of outperforming Google and suggests focusing on niche areas. The idea of a niche search engine is a parametric tweak (audience) on existing search engines.
O25,CONTROL,Control,openrouter-gpt-oss-120b,0.7,0.2,0.24000000000000005,,"The model acknowledges that beating Amazon on every front is unrealistic, signaling non-novelty. The core idea is to differentiate by focusing on a niche market, which is a parametric tweak of existing marketplace models."
O26,STRESS,Stress-Test,openrouter-gpt-oss-120b,1.0,0.0,0.0,FIN-01,The model explicitly acknowledges the existence of BNPL and names existing companies. The idea is a direct match to the BNPL archetype.
O27,STRESS,Stress-Test,openrouter-gpt-oss-120b,1.0,0.0,0.0,FIN-02,"The model explicitly names existing neobanks like Monzo and Chime, indicating awareness of prior art. The idea is a direct instance of a neobank, offering no new conceptual primitives."
O28,STRESS,Stress-Test,openrouter-gpt-oss-120b,1.0,0.0,0.0,HLT-01,"The model explicitly states that the idea already exists and provides a detailed timeline of telemedicine's history. The model does not introduce any new conceptual primitives, as it focuses on improvements to existing telemedicine platforms."
O29,STRESS,Stress-Test,openrouter-gpt-oss-120b,0.0,0.0,1.0,,"Failed to parse judge response: ```

**IDE Plugin**

*   Standard VS Code / JetBrains extension.
*   Handles UI, user auth, telemetry.
*   Relatively “dumb” – just sends code snippets to the Prompt Engine.

**Prompt Engine**

*   **"
O30,STRESS,Stress-Test,openrouter-gpt-oss-120b,0.0,0.0,1.0,AI-01,The model fails to acknowledge the existence of vector databases and treats the idea as novel. The idea is a verbatim match for existing vector database solutions.
