prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-grok-4.1-fast,1.0,0.2,0.0,LOG-01,"The model explicitly names existing competitors like ShipBob and Shopify Fulfillment Network. The idea is a parametric tweak of existing shared fulfillment models, focusing on niche markets or cost reduction."
O02,LOG-02,Logistics,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,LOG-02,"The model acknowledges the competitive landscape and existing players in the same-day delivery space, signaling non-novelty. The core idea is a parametric tweak of existing on-demand last-mile delivery services, focusing on retail rather than food."
O03,FIN-01,Fintech,openrouter-grok-4.1-fast,1.0,0.0,0.0,FIN-01,"The model explicitly identifies the idea as Buy Now, Pay Later (BNPL) and names existing companies like Afterpay and Klarna. The idea is a direct match to the BNPL archetype."
O04,FIN-02,Fintech,openrouter-grok-4.1-fast,1.0,0.4,0.0,FIN-02,"The model explicitly acknowledges the existence of neobanks and their focus on Gen Z. The suggestions for innovation are recombinatorial, such as integrating gig economy tools or social/sustainability features."
O05,FIN-03,Fintech,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,FIN-03,"The model acknowledges the existence of similar apps like Mint and YNAB, signaling non-novelty. The idea is a parametric tweak of existing finance aggregators, focusing on specific niches or adding AI-powered analysis."
O06,HLT-01,Health,openrouter-grok-4.1-fast,1.0,0.0,0.0,HLT-01,"The model explicitly names existing telemedicine platforms like Teladoc and Amwell. The idea is a direct implementation of telemedicine, offering video calls with doctors, which is already a well-established service."
O07,HLT-03,Health,openrouter-grok-4.1-fast,1.0,0.0,0.0,HLT-03,"The model explicitly names existing competitors like BetterHelp and Talkspace, indicating awareness of prior art. The idea is a direct instantiation of an existing mental health marketplace, offering on-demand therapist matching, which is already available."
O08,RE-01,Real Estate,openrouter-grok-4.1-fast,1.0,0.0,0.0,RE-01,"The model explicitly names the iBuyer model and Opendoor. The core idea is identical to existing iBuying services, just with a focus on speed and AI, which are already features of existing players."
O09,RE-02,Real Estate,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,RE-02,"The model acknowledges the existence of similar platforms like Fundrise and Arrived Homes, indicating some awareness of prior art. The idea itself is a parametric tweak of existing fractional ownership models, focusing on rental properties, thus lacking significant conceptual novelty."
O10,SAS-01,SaaS,openrouter-grok-4.1-fast,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges the existence of competitors like Salesforce Einstein, Gong, and Clari, indicating awareness of prior art. The core idea is a parametric tweak (AI) on existing CRM systems, thus low conceptual novelty."
