prompt_id,rpac_id,domain,model_name,paas,cns,fni,rpac_match,justification
O01,LOG-01,Logistics,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,LOG-01,"The model acknowledges the existence of similar solutions like FBA and ShipBob, but still frames the idea as having ""real potential"". The idea is a cosmetic rephrasing of shared fulfillment."
O02,LOG-02,Logistics,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,LOG-02,"The model acknowledges the existence of competitors like DoorDash and Uber, signaling non-novelty. The idea is a direct implementation of on-demand last-mile delivery, offering no new conceptual primitives."
O03,FIN-01,Fintech,openrouter-qwen3-coder,1.0,0.0,0.0,FIN-01,The model explicitly names existing BNPL companies. The idea is a verbatim match for existing BNPL solutions.
O04,FIN-02,Fintech,openrouter-qwen3-coder,0.7,0.2,0.24000000000000005,FIN-02,"The model acknowledges that many banks already offer mobile apps, signaling non-novelty. The idea is a parametric tweak of existing neobanks, focusing on Gen Z and adding social/financial education features."
O05,FIN-03,Fintech,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,FIN-03,"The model acknowledges the existence of similar apps like Mint, YNAB, and PocketGuard, but still frames the idea as potentially viable if a ""genuine gap"" can be identified. The core idea is a finance aggregator, which already exists."
O06,HLT-01,Health,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,HLT-01,"The model acknowledges the existence of telehealth solutions like Teladoc and Amwell, but still frames the idea as viable with modifications. The core concept is telemedicine, which already exists."
O07,HLT-03,Health,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,HLT-03,"The model acknowledges the existence of competitors like Talkspace and BetterHelp, signaling non-novelty. The idea is a direct match to existing mental health marketplaces, offering no new conceptual primitives."
O08,RE-01,Real Estate,openrouter-qwen3-coder,0.7,0.0,0.30000000000000004,RE-01,"The model acknowledges the existence of iBuyers like Opendoor, signaling non-novelty. The core idea is identical to iBuying, offering quick home purchases using automated valuation, so CNS is 0."
O09,RE-02,Real Estate,openrouter-qwen3-coder,1.0,0.0,0.0,RE-02,The model explicitly acknowledges the existence of fractional real estate investing platforms like Fundrise and RealtyMogul. The idea is a verbatim match for RPAC archetype RE-02.
O10,SAS-01,SaaS,openrouter-qwen3-coder,0.7,0.2,0.24000000000000005,SAS-01,"The model acknowledges existing CRMs and their predictive features, but frames the idea as an 'AI enhancement,' which is a parametric tweak. The core idea of a CRM with predictive capabilities already exists."
O11,SAS-03,SaaS,openrouter-qwen3-coder,0.7,0.2,0.24000000000000005,SAS-03,"The model acknowledges existing solutions like Notion, ClickUp, and Monday.com, signaling non-novelty. The idea is a parametric tweak of existing collaboration tools, adding AI features, but the core mechanism is already present."
